,date,confirmed_num,cured_num,dead_num
0,2020-02-27,1,0,0
1,2020-02-28,1,0,0
2,2020-02-29,6,0,0
3,2020-03-01,10,0,0
4,2020-03-02,18,0,0
5,2020-03-03,24,0,0
6,2020-03-04,38,0,0
7,2020-03-05,82,0,0
8,2020-03-06,128,0,1
9,2020-03-07,188,0,1
10,2020-03-08,265,0,3
11,2020-03-09,321,0,3
12,2020-03-10,382,0,4
13,2020-03-11,503,0,5
14,2020-03-12,614,0,5
15,2020-03-13,804,0,10
16,2020-03-14,959,2,12
17,2020-03-15,1135,2,20
18,2020-03-16,1413,2,24
19,2020-03-17,1705,2,43
20,2020-03-18,2051,2,58
21,2020-03-19,2460,2,76
22,2020-03-20,2994,2,106
23,2020-03-21,3631,2,136
24,2020-03-22,4204,2,179
25,2020-03-23,4749,2,213
26,2020-03-24,5560,2,276
27,2020-03-25,6412,3,356
28,2020-03-26,7431,3,434
29,2020-03-27,8603,3,546
30,2020-03-28,9762,3,639
31,2020-03-29,10866,250,771
32,2020-03-30,11750,250,864
33,2020-03-31,12595,250,1039
34,2020-04-01,13614,250,1173
35,2020-04-02,14697,250,1339
36,2020-04-03,15723,250,1487
37,2020-04-04,16627,250,1651
38,2020-04-05,17851,250,1766
39,2020-04-06,18803,250,1867
40,2020-04-07,19580,250,2101
41,2020-04-08,20549,250,2248
42,2020-04-09,21762,250,2396
43,2020-04-10,23097,250,2511
44,2020-04-11,24413,250,2643
45,2020-04-12,25587,250,2737
46,2020-04-13,26551,250,2823
47,2020-04-14,27419,250,2945
48,2020-04-15,28153,250,3134
49,2020-04-16,29214,250,3315
50,2020-04-17,30449,250,3459
51,2020-04-18,31589,250,3601
52,2020-04-19,32655,250,3684
53,2020-04-20,33405,250,3751
54,2020-04-21,34134,0,3916
55,2020-04-22,34842,0,4054
56,2020-04-23,35729,0,4177
57,2020-04-24,36535,0,4289
58,2020-04-25,37190,0,4409
59,2020-04-26,37845,0,4475
60,2020-04-27,38245,0,4518
61,2020-04-28,38416,0,4566
62,2020-04-29,38802,0,4711
63,2020-04-30,39316,0,4795
64,2020-05-01,39791,0,4893
65,2020-05-02,40236,0,4987
66,2020-05-03,40571,0,5056
67,2020-05-04,40770,0,5082
68,2020-05-05,41087,0,5168
69,2020-05-06,41319,0,5204
70,2020-05-07,41774,0,5288
71,2020-05-08,42093,0,5359
72,2020-05-09,42382,0,5422
73,2020-05-10,42627,0,5440
74,2020-05-11,42788,0,5456
75,2020-05-12,42984,0,5510
76,2020-05-13,43211,0,5562
77,2020-05-14,43481,0,5590
78,2020-05-15,43681,0,5643
79,2020-05-16,43870,0,5670
80,2020-05-17,43995,0,5680
81,2020-05-18,44141,0,5694
82,2020-05-19,44249,0,5715
83,2020-05-20,44447,0,5748
84,2020-05-21,44700,0,5775
85,2020-05-22,44888,0,5788
86,2020-05-23,45064,0,5811
87,2020-05-24,45236,0,5822
